task_id,valid_pair,raw_outcome,b0_pass,b1_pass,b0_properly_finished,b1_properly_finished,crashed_or_invalid_arms,invalid_reason_classes,b0_cost,b1_cost,b1_route_counts
Prob001_zero,True,both_pass,True,True,True,True,,,0.003273,0.003343,{}
Prob002_m2014_q4i,False,both_pass,True,True,False,True,B0,B0=tb_judge_assertion,0.010804,0.003287,{}
Prob003_step_one,True,both_pass,True,True,True,True,,,0.003388,0.003517,{}
Prob004_vector2,True,both_pass,True,True,True,True,,,0.003854,0.003559,{}
Prob005_notgate,True,both_pass,True,True,True,True,,,0.003318,0.003414,{}
Prob006_vectorr,True,both_pass,True,True,True,True,,,0.003924,0.004060,{}
Prob007_wire,True,both_pass,True,True,True,True,,,0.003296,0.003316,{}
Prob008_m2014_q4h,False,routed_only_pass,False,True,False,True,B0,B0=tb_judge_assertion,0.010045,0.003209,{}
Prob009_popcount3,True,both_pass,True,True,True,True,,,0.003698,0.012949,"{""syntax"": 4}"
Prob010_mt2015_q4a,True,both_pass,True,True,True,True,,,0.003291,0.003077,{}
Prob011_norgate,True,both_pass,True,True,True,True,,,0.003498,0.003583,{}
Prob012_xnorgate,True,both_pass,True,True,True,True,,,0.003358,0.003619,{}
Prob013_m2014_q4e,True,both_pass,True,True,True,True,,,0.003168,0.011251,"{""syntax"": 4}"
Prob014_andgate,True,both_pass,True,True,True,True,,,0.003418,0.003508,{}
Prob015_vector1,True,both_pass,True,True,True,True,,,0.004340,0.004058,{}
Prob016_m2014_q4j,True,both_pass,True,True,True,True,,,0.003766,0.003845,{}
Prob017_mux2to1v,True,both_pass,True,True,True,True,,,0.004015,0.003697,{}
Prob018_mux256to1,True,both_pass,True,True,True,True,,,0.003517,0.003662,{}
Prob019_m2014_q4f,False,both_pass,True,True,False,True,B0,B0=tb_judge_assertion,0.009563,0.003341,{}
Prob020_mt2015_eq2,True,both_pass,True,True,True,True,,,0.003384,0.004083,{}
